,Actual,Predicted
0,76819.0,166039.05869463872
1,90306.0,348487.5258699406
2,97886.0,403222.0660225312
3,128352.0,530935.9930452425
4,60368.0,20080.284954397182
5,181574.0,603915.3799153632
6,941.0,-344816.6493962066
7,214821.0,640405.0733504235
8,73258.0,93059.67182451795
9,8234.0,-235347.56909102545
10,857487.0,877588.0806783161
11,23892.0,-144123.33550337452
12,660693.0,822853.5405257253
13,1511104.0,1023546.8544185576
14,34391.0,-89388.79535078397
15,75136.0,111304.51854204811
16,1345101.0,987057.160983497
